D90,r,m,v,,
22.5367988,0.694511459,-0.314285714,0.080377185,310,8
22.2287719,0.622783903,-0.314285714,0.377702251,311,8
17.87355589,0.57235317,-0.314285714,0.175132282,312,8
29.72912377,0.771976903,-0.314285714,0.5189383,313,8
32.59121814,0.78448041,-0.314285714,-0.092718812,314,8
28.66024948,0.757672509,-0.314285714,0.010079292,315,8
45.72999891,0.694126569,-0.314285714,0.032832874,316,8
14.64308711,0.636701433,-0.314285714,0.100955605,317,8
22.24797744,0.736852186,-0.314285714,0.092996765,318,8
29.21997262,0.809540351,-0.314285714,-0.046869256,319,8
16.1649652,0.797836131,-0.314285714,0.117478829,320,8
25.08560543,0.726455366,-0.314285714,0.063160088,321,8
14.92052278,0.643330596,-0.314285714,0.141198437,322,8
29.84294892,0.96766534,-0.314285714,0.065617987,323,8
51.84163578,0.854287109,-0.314285714,-0.262451064,324,8
30.26711582,0.914093971,-0.314285714,0.212276275,325,8
52.14858579,0.87969306,-0.314285714,-0.428875972,326,8
33.90930846,0.787230352,-0.314285714,0.473065614,327,8
26.95357119,0.853609346,-0.314285714,0.265224271,328,8
31.41143104,0.805236398,-0.314285714,0.050777534,329,8
36.16201045,0.749419024,-0.314285714,0.461935473,330,8
24.29436972,0.846773119,-0.314285714,0.059119196,331,8
31.81651144,0.818549364,-0.314285714,0.307286736,332,8
26.4073664,0.757978699,-0.314285714,0.28315261,333,8
19.73416834,0.716360955,-0.314285714,0.379741687,334,8
31.91838812,0.806182794,-0.542857143,0.024039586,335,9
27.53470537,0.788662711,-0.542857143,-0.082149165,336,9
20.5995898,0.661112692,-0.542857143,0.233249123,337,9
16.96371127,0.767137374,-0.542857143,0.0379493,338,9
39.91285006,0.81762734,-0.542857143,-0.37610716,339,9
24.31419339,0.707697241,-0.542857143,0.030260449,340,9
38.98409932,0.751942555,-0.542857143,-0.015512702,341,9
28.33497838,0.912698497,-0.542857143,0.371660406,342,9
27.85763091,0.701875989,-0.542857143,-0.018179249,343,9
13.81900865,0.601908921,-0.542857143,0.396588657,344,9
17.82448877,0.577134755,-0.542857143,0.101868898,345,9
26.98655962,0.632267036,-0.542857143,0.226905614,346,9
23.57986641,0.674485406,-0.542857143,0.080377185,347,9
22.4627091,0.600119578,-0.542857143,0.377702251,348,9
22.11433472,0.549724708,-0.542857143,0.175132282,349,9
26.65040337,0.752300065,-0.542857143,0.5189383,350,9
29.94581774,0.761411296,-0.542857143,-0.092718812,351,9
27.34835461,0.730049273,-0.542857143,0.010079292,352,9
31.4792376,0.662860161,-0.542857143,0.032832874,353,9
15.86094259,0.599619328,-0.542857143,0.100955605,354,9
25.05102393,0.705429601,-0.542857143,0.092996765,355,9
20.08295297,0.769661897,-0.542857143,0.117478829,356,9
24.48861981,0.691342585,-0.542857143,0.063160088,357,9
13.15981003,0.603663248,-0.542857143,0.141198437,358,9
33.82791451,0.801596145,-0.542857143,0.307286736,359,9
30.06525736,0.743440518,-0.542857143,0.28315261,360,9
27.26450073,0.707645808,-0.542857143,0.379741687,361,9
29.77077762,0.82389647,-0.2,0.024039586,362,10
42.35797564,0.84060518,-0.2,0.283230671,363,10
24.20698246,0.807925865,-0.2,-0.082149165,364,10
31.51497263,0.687124704,-0.2,0.233249123,365,10
39.83504989,0.758048413,-0.2,0.024757839,366,10
