D90,Rrup,Mw,Vs30,zh,
28.64554939,82.22826704,5.2,382.2518,142,5
23.76592519,93.41971066,5.2,138.1374,143,5
39.6547702,62.82806882,5.2,89.19601,144,5
26.35635787,103.8973971,5.2,259.5523,145,5
24.62451015,80.94398585,5.2,661.4196,146,5
22.62836715,56.99679904,5.2,156.3224,147,5
21.7382796,71.91668294,5.2,325.5844,148,5
32.25902664,61.50945721,5.2,146.4362,149,5
38.36851053,57.71475985,5.2,120.869,150,5
13.11192206,130.4228628,5.2,399.9957,151,5
18.51853936,142.1005639,5.2,309.6915,152,5
16.7920368,156.8689987,5.2,199.3158,153,5
21.80322224,119.7456679,5.2,353.3482,154,5
20.88163308,115.0984054,5.2,253.6669,155,5
22.91218017,94.44591206,5.2,309.0803,156,5
24.9103352,111.223331,5.2,256.9584,157,5
21.13469186,113.2797267,5.2,523.1513,158,5
25.16013116,70.68653795,5.2,377.0819,159,5
17.80722325,78.89231127,5.2,363.2759,160,5
15.02892212,88.97447336,5.2,421.7628,161,5
28.49959649,81.9604178,5.2,321.4917,162,5
27.26698003,61.76819665,5.2,293.7617,163,5
17.08069085,143.6013319,5.2,430.6437,164,5
26.32557692,106.8725764,5.7,243.39799,165,6
40.96123289,93.54405002,5.7,363.31973,166,6
26.00482648,90.13145549,5.7,206.55794,167,6
46.37794735,97.08912593,5.7,336.31079,168,6
45.12833256,86.66951782,5.7,243.66833,169,6
30.89595443,82.99363226,5.7,248.68715,170,6
42.36843518,85.38230648,5.7,127.1408,171,6
46.08217551,77.51199427,5.7,131.13963,172,6
47.26956738,84.87481287,5.7,245.74942,173,6
52.40839818,77.24717721,5.7,228.96497,174,6
44.31781245,73.77310724,5.7,275.56555,175,6
40.69035266,67.59741254,5.7,290.70941,176,6
29.7515008,72.49397562,5.7,185.37057,177,6
54.1142375,73.54276075,5.7,171.66423,178,6
49.63941982,64.78572101,5.7,166.97049,179,6
35.78088875,67.13756691,5.7,255.86218,180,6
16.46138512,64.13209219,5.7,389.23804,181,6
63.81142139,76.00786646,5.7,144.11224,182,6
44.73963791,66.85064256,5.7,165.19353,183,6
17.64400748,79.3700581,5.7,743.37653,184,6
21.40991593,74.649358,5.7,307.31921,185,6
49.01875559,79.39412704,5.7,215.21594,186,6
22.64961368,163.6568311,5.7,416.52783,187,6
35.48991124,152.5484255,5.7,274.86993,188,6
35.28964154,160.6502464,5.7,274.5092,189,6
24.60751105,151.9677338,5.7,333.0297,190,6
19.21136382,138.2461648,5.7,265.5409,191,6
34.48550565,133.5931197,5.7,522.9963,192,6
49.75301398,130.2332793,5.7,272.6518,193,6
32.4739511,123.0914794,5.7,203.2111,194,6
36.64966166,115.849377,5.7,238.2027,195,6
43.49970575,120.2128744,5.7,246.7284,196,6
28.06432255,118.5254518,5.7,274.122,197,6
35.26989226,110.2786756,5.7,270.7708,198,6
35.98260691,114.6478903,5.7,218.1334,199,6
28.39225246,98.8947575,5.7,281.2124,200,6
40.97838455,99.95031129,5.7,258.5682,201,6
41.4033815,105.7507096,5.7,291.7127,202,6
36.49877806,87.75829796,5.7,136.088,203,6
48.29421705,88.54058192,5.7,119.6667,204,6
26.642635,84.39401972,5.7,615.7157,205,6
27.54341482,86.63709619,5.7,262.0394,206,6
35.40129941,94.48902949,5.7,382.2518,207,6
30.22195394,111.5055055,5.7,343.7977,208,6
38.06904254,105.3185097,5.7,138.1374,209,6
45.33229313,104.1967839,5.7,375.5872,210,6
33.28609319,114.8896433,5.7,473.4697,211,6
52.39200321,117.6003805,5.7,99.70285,212,6
34.03668021,123.4648196,5.7,396.2268,213,6
54.01973713,121.434178,5.7,89.19601,214,6
37.02892113,111.9666366,5.7,156.3224,215,6
28.24616965,118.788488,5.7,325.5844,216,6
38.28148377,111.2523549,5.7,146.4362,217,6
48.96703075,101.7348152,5.7,120.869,218,6
30.00224992,113.3222146,5.7,298.5533,219,6
